uRaNuS,2750,3000,2880
mErCuRy,46,70,57
eArTh,147,152,150
vEnUs,107,109,108
mArS,205,249,228
sAtUrN,1350,1510,1430
jUpItEr,741,817,779
nEpTuNe,4450,4550,4500
pLuTo,4440,7380,5910
