Uranus,2750,3000,2880
Mercury,46,70,57
Earth,147,152,150
Venus,107,109,108
Mars,205,249,228
Saturn,1350,1510,1430
Jupiter,741,817,779
Neptune,4450,4550,4500
Pluto,4440,7380,5910

